,name,slug_1,slug,ecv
0,Viandes,viandes,boeuf,28.009169999999997
1,Viandes,viandes,veau,22.50465333333333
2,Viandes,viandes,porc,6.671304949999999
3,Viandes,viandes,lapin,5.782900000000001
4,Viandes,viandes,canard,8.0609
5,Viandes,viandes,poulet,4.56043
6,Poissons et fruits de mer,poissons,crevettes,20.345228
7,Poissons et fruits de mer,poissons,cabillaud,12.0864877
8,Poissons et fruits de mer,poissons,lieu,12.0864877
9,Poissons et fruits de mer,poissons,dorade,11.1914877
10,Poissons et fruits de mer,poissons,saumon,5.55693
11,Poissons et fruits de mer,poissons,moules,5.328231000000001
12,Poissons et fruits de mer,poissons,huitres,5.328231000000001
13,Poissons et fruits de mer,poissons,thon,4.98343
14,Poissons et fruits de mer,poissons,sardines,2.2764877
15,Plats préparés,plats,cheeseburger,18.833399999999997
16,Plats préparés,plats,kebab,12.806530000000002
17,Plats préparés,plats,burgerpoulet,4.3614
18,Plats préparés,plats,pizza,3.5994
19,Plats préparés,plats,sushis,2.6689999999999996
20,Plats préparés,plats,burgervegetarien,2.7075
21,Plats préparés,plats,frites,1.4569999999999999
22,Plats préparés,plats,tofu,1.0042999999999997
23,En-cas,encas,boucheechocolat,10.521899999999999
24,En-cas,encas,pateatartiner,9.1169
25,En-cas,encas,brownie,8.3569
26,En-cas,encas,painauchocolat,5.7291
27,En-cas,encas,cookie,6.272900000000001
28,En-cas,encas,madeleine,2.2434
29,En-cas,encas,painauxraisins,2.5641
30,En-cas,encas,chaussonauxpommes,2.0441000000000003
31,En-cas,encas,croissant,2.9431000000000003
32,En-cas,encas,paindemie,1.5591000000000002
33,En-cas,encas,bonbons,1.4869
34,En-cas,encas,baguette,0.7767000000000001
35,Oeufs et produits laitiers,laitier,beurre,7.91333
36,Oeufs et produits laitiers,laitier,fromagedure,6.27838
37,Oeufs et produits laitiers,laitier,feta,6.30563
38,Oeufs et produits laitiers,laitier,fromagemolle,5.144405000000001
39,Oeufs et produits laitiers,laitier,mozarella,4.71463
40,Oeufs et produits laitiers,laitier,fromagebleu,6.164963333333335
41,Oeufs et produits laitiers,laitier,oeuf,1.8780103000000001
42,Oeufs et produits laitiers,laitier,matieregrasse,2.58463
43,Oeufs et produits laitiers,laitier,yaourt,1.8947299999999998
44,Oeufs et produits laitiers,laitier,fromageblanc,1.8096299999999998
45,Oeufs et produits laitiers,laitier,laitdevache,1.1505
46,Fruits et légumes,fruits,pomme,0.408195
47,Fruits et légumes,fruits,carotte,0.3960665
48,Fruits et légumes,fruits,courgette,0.498507
49,Fruits et légumes,fruits,tomate,0.6256
50,Fruits et légumes,fruits,potiron,0.638233
51,Fruits et légumes,fruits,laitue,0.868145
52,Fruits et légumes,fruits,banane,0.908523
53,Fruits et légumes,fruits,mangue,11.65551
54,Fruits et légumes,fruits,poireau,0.6113778000000001
55,Fruits et légumes,fruits,avocat,1.552523
56,Fruits et légumes,fruits,pommedeterre,0.7062605000000001
57,Céréales et légumineuses,cereales,riz,2.01458575
58,Céréales et légumineuses,cereales,pates,1.9795
59,Céréales et légumineuses,cereales,ble,1.2262635
60,Céréales et légumineuses,cereales,boulgour,0.9499000000000001
61,Céréales et légumineuses,cereales,poischiches,0.8985430000000001
62,Céréales et légumineuses,cereales,haricotsrouges,0.858543
63,Céréales et légumineuses,cereales,lentilles,0.5815429999999999
64,Céréales et légumineuses,cereales,mais,0.568793
