,name,ecv,peryear,defaultyears,endOfLife,footprint
0,Bouilloire,40.88403605825422,5.27273319,6.0,-0.659363081745786,9.907
1,Cafetière à dosettes,251.0035526905852,35.160078,5.0,52.7491626905852,22.454
2,Cafetière filtre,197.69817433391722,27.1831351,5.0,29.8824988339172,31.9
3,Cafetière expresso,211.7710842705374,28.0487772,5.0,23.9101982705374,47.617000000000004
4,Four électrique,263.06469996,6.29728333,12.0,-30.0927,217.58999999999997
5,Lave-vaisselle,467.9982177292116,21.943837,10.0,-22.6301522707884,271.19
6,Lave-linge,510.2572583409827,21.6932702,10.0,-47.7754436590173,341.09999999999997
7,Réfrigérateur,325.46071642401705,8.83240334,10.0,-20.163316975983,257.3
8,Aspirateur,47.31,,,,47.31
9,Climatiseur,413.8812884443126,18.2596505,6.0,65.4233854443126,238.89999999999998
